"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Ottawa County","OH","Port Clinton",991,1161,0.00345721694036301,0.010443864229765,0.0184210526315789,23794
2019-04-30,"Wharton County","TX","El Campo",992,1306,0.000766283524904215,0.00153374233128834,0.0116189000774593,12266
2019-04-30,"Montrose County","CO","Montrose",993,1301,0.00540958268933539,-0.000768049155145929,-0.0377218934911243,13586
2019-04-30,"Mayes County","OK",,994,928,0.0108932461873638,0.0209020902090209,-0.0021505376344086,10918
2019-04-30,"Davie County","NC","Winston-Salem",995,1227,0.00163265306122449,0.00738916256157635,0.0302267002518892,16341
2019-04-30,"Webster Parish","LA","Shreveport-Bossier City",996,1037,-0.0161290322580645,-0.0326492537313433,-0.00479846449136276,10114
2019-04-30,"Franklin County","TN","Tullahoma-Manchester",997,1159,-0.00343938091143594,-0.00429553264604811,0.0329768270944742,16545
2019-04-30,"Pierce County","WI","Minneapolis-St. Paul-Bloomington",998,1256,0.0161812297734628,0.0423236514522822,0.101754385964912,11497
2019-04-30,"Kittitas County","WA","Ellensburg",999,1579,-0.00126502213788741,-0.013125,0.0206851971557854,16475
2019-04-30,"Bonner County","ID","Sandpoint",1000,1367,0.00293470286133529,0.0140949554896142,0.0936,18568
2019-04-30,"Jim Wells County","TX","Alice",1001,1096,-0.0117222723174031,-0.0188003581020591,0.0129390018484288,5787
2019-04-30,"Mercer County","OH","Celina",1002,1139,0.00529567519858782,0.0115452930728242,0.0363967242948135,11559
2019-04-30,"Levy County","FL",,1003,1262,0.00637958532695375,0.0144694533762058,0.0429752066115702,8911
2019-04-30,"Pasquotank County","NC","Elizabeth City",1004,1023,0.00788177339901478,0.0168986083499006,0.0148809523809524,14461
2019-04-30,"Marshall County","IA","Marshalltown",1005,858,0.00233644859813084,0.00586166471277843,0.0153846153846154,16327
2019-04-30,"Pike County","MS","McComb",1006,956,-0.0184804928131417,-0.0391959798994975,0.0669642857142857,8834
2019-04-30,"Des Moines County","IA","Burlington",1007,884,-0.00225733634311512,-0.00896860986547085,-0.0155902004454343,15321
2019-04-30,"Jackson County","NC","Cullowhee",1008,1312,0.00229182582123759,0.00845503458877786,0.0479233226837061,18261
