"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"West Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",6300,2216,0.00498866213151927,0.0104879160966712,0.0132601737540009,1737
2019-04-30,"Donalsonville","GA",,"Seminole County",6301,944,0.00425531914893617,0.0161463939720129,0.0535714285714286,2470
2019-04-30,"West Fork","AR","Fayetteville-Springdale-Rogers","Washington County",6302,1108,0.0036231884057971,0.00271493212669683,0.0137236962488564,1761
2019-04-30,"Interlochen","MI","Traverse City","Grand Traverse County",6303,1323,-0.00973053892215569,-0.0250552689756817,0.103419516263553,2933
2019-04-30,"Abbeville","AL","Dothan","Henry County",6304,900,-0.00221729490022173,-0.00110987791342952,0.0262257696693273,1571
2019-04-30,"Grifton","NC","Greenville","Pitt County",6305,853,-0.00233918128654971,-0.00233918128654971,0.014268727705113,2088
2019-04-30,"Folsom","PA","Philadelphia-Camden-Wilmington","Delaware County",6306,1464,0.00549450549450549,0.00342700479780672,0,2465
2019-04-30,"Monticello","IA","Cedar Rapids","Jones County",6307,1042,0.00482160077145612,0.00773694390715667,0.0136186770428016,2241
2019-04-30,"Limestone","TN","Johnson City","Washington County",6308,891,-0.00668896321070234,-0.0132890365448505,0.0839416058394161,3479
2019-04-30,"Englewood","TN","Athens","McMinn County",6309,1028,-0.00387596899224806,0.00685602350636631,0.140954495005549,2028
2019-04-30,"Broad Brook","CT","Hartford-West Hartford-East Hartford","Hartford County",6310,1628,-0.00245098039215686,-0.0127349909035779,0.00431832202344232,2175
2019-04-30,"Roanoke","IN","Huntington","Huntington County",6311,1294,0.00232378001549187,0.00857365549493375,0.0376904570970329,2631
2019-04-30,"Oneida","MI","Lansing-East Lansing","Eaton County",6312,1195,-0.00582362728785358,-0.0196882690730107,0.0319516407599309,1570
2019-04-30,"Spring Garden","PA","York-Hanover","York County",6313,1344,0.000744601638123604,0.00825206301575394,0.0236100533130236,2642
2019-04-30,"Holly Hill","SC","Orangeburg","Orangeburg County",6314,961,-0.00825593395252838,-0.0102986611740474,0.0256136606189968,1451
2019-04-30,"Newport","VT",,"Orleans County",6315,1444,-0.0183548606390211,-0.0116358658453114,0.169230769230769,2081
2019-04-30,"Munford","AL","Talladega-Sylacauga","Talladega County",6316,934,-0.0032017075773746,-0.00213675213675214,0.0331858407079646,1088
2019-04-30,"Ossian","IN","Fort Wayne","Wells County",6317,1098,-0.000909918107370337,0,0.00273972602739726,2181
2019-04-30,"Eden Isle","LA","New Orleans-Metairie","Saint Tammany Parish",6318,1840,0.00217864923747277,0.0137741046831956,0.0337078651685393,3974
2019-04-30,"Hapeville","GA","Atlanta-Sandy Springs-Roswell","Fulton County",6319,1180,0.0120068610634648,0.0359964881474978,0.0895660203139428,2123
2019-04-30,"Topanga","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6320,4624,-0.003877638948729,-0.00301854247520483,0.0144800351031154,2068
2019-04-30,"Tortolita","AZ","Tucson","Pima County",6321,1949,0.00515729757607014,0.0274117026884555,0.0204188481675393,1460
2019-04-30,"Darnestown","MD","Washington-Arlington-Alexandria","Montgomery County",6322,2927,-0.000682826903379993,-0.00476028561713703,-0.017455521987244,2386
2019-04-30,"Greenback","TN","Knoxville","Loudon County",6323,1172,0.00600858369098712,0.00687285223367698,-0.00593723494486853,3519
2019-04-30,"Clayton","GA",,"Rabun County",6324,1210,0.0058187863674148,0.00917431192660551,0.0151006711409396,3073
2019-04-30,"Topsfield","MA","Boston-Cambridge-Newton","Essex County",6325,2730,0.00478468899521531,-0.0140845070422535,-0.0615331729116535,2141
2019-04-30,"Pawhuska","OK","Tulsa","Osage County",6326,784,0.00127713920817369,0.00512820512820513,0.0155440414507772,1725
2019-04-30,"Folcroft","PA","Philadelphia-Camden-Wilmington","Delaware County",6327,1260,0.00318471337579618,0.00880704563650921,0.0387469084913438,2489
2019-04-30,"Larkspur","CA","San Francisco-Oakland-Hayward","Marin County",6328,5408,0.00483091787439614,0.00557828188917813,-0.00843417675100843,2399
2019-04-30,"Coal Valley","IL","Davenport-Moline-Rock Island","Rock Island County",6329,1012,0.0211907164480323,0.0607966457023061,-0.00589390962671906,2498
2019-04-30,"Great Mills","MD","California-Lexington Park","Saint Marys County",6330,1526,-0.00130890052356021,0.00394736842105263,0.0180120080053369,2907
2019-04-30,"North Riverside","IL","Chicago-Naperville-Elgin","Cook County",6331,1803,0.00166666666666667,0.00333889816360601,0.0464306442251886,2306
2019-04-30,"Swanton","VT","Burlington-South Burlington","Franklin County",6332,1592,-0.00188087774294671,-0.00375469336670839,0.00951173113506658,2065
2019-04-30,"Humboldt","IA",,"Humboldt County",6333,971,-0.00614124872057318,-0.0132113821138211,-0.0201816347124117,2384
2019-04-30,"Piney Flats","TN","Kingsport-Bristol-Bristol","Sullivan County",6334,1113,0.00815217391304348,0.0192307692307692,-0.0623420387531592,2791
2019-04-30,"Dardanelle","AR","Russellville","Yell County",6335,846,0.00475059382422803,0.010752688172043,0.0254545454545455,2530
2019-04-30,"Willow Street","PA","Lancaster","Lancaster County",6336,1337,-0.00149365197908887,-0.000747384155455904,0.0380434782608696,1851
2019-04-30,"Kirtland","NM","Farmington","San Juan County",6337,1026,0.00785854616895874,0.00293255131964809,-0.0265654648956357,1160
2019-04-30,"Shamong","NJ","Philadelphia-Camden-Wilmington","Burlington County",6338,2093,0.00964785335262904,0.00480076812289966,-0.0775672102247686,2097
2019-04-30,"Waite Park","MN","St. Cloud","Stearns County",6339,1191,-0.00167644593461861,-0.0132560066280033,-0.0348460291734198,1749
